Name,Domain,Stipend,Location,Branches
ABB Global Industries and Services Private Limited(Bangalore),Electronics,25000,Bangalore,H101 H112 H123 H124 H140
Aditya Birla Group -Data and Analytics(Bangalore),IT,30000,Bangalore,A7
Adobe Systems(Bangalore),IT,100000,Bangalore,A7 AA
Adobe Systems(Noida),IT,100000,Noida,A7 AA
Aerchain(Bangalore),IT,,Bangalore,Any
AFour Technologies(Pune),IT,60000,Pune,A1 A2 A3 A4 A5 A7 A8 AA
AgroStar(Pune),,40000,Pune,A1 A2 A3 A4 A5 A7 A8 AA AB
AlmaConnect(Gurgaon),IT,20000,Gurgaon,Any
Altair Engineering India Pvt. Ltd. - Software Division(Bangalore),IT,20000,Bangalore,A4 A7
Amazon Development Center(Hyderabad),IT,60000,Hyderabad,Any A7 A7 C6 H103 H112 H313
Amazon Development Center(Chennai),IT,,Chennai,A7 C6 H103 H112
Amazon Development Center(New delhi),IT,60000,New delhi,A7 C6 H103 H112
Apple India Pvt Limited(Hyderabad),IT,,Hyderabad,Any A3 Any A7 Any A8 Any AA A3 A7 A8 AA H103 H112
ARM Embedded Technologies Private Limited(Bangalore),Electronics,28000,Bangalore,A7
ASA Industries(Noida),Mechanical,,Noida,A4 AB
Avaamo(Bangalore),IT,75000,Bangalore,A7
Avail Finance(Bangalore),,60000,Bangalore,A7 AA B3 B4
Axxela Advisory Services(Kolkata),,20000,Kolkata,A1 A2 A3 A4 A5 A7 A8 AA AB B3 B4
Axxela Advisory Services(Mumbai),,20000,Mumbai,A1 A2 A3 A4 A5 A7 A8 AA AB B3 B4
Azule Software Pvt. Ltd.(Chennai),,20000,Chennai,A3 A7
Baldor Technologies Pvt Ltd(Mumbai),IT,50000,Mumbai,A3 A3A3 A4 A4A4 A7 A7A7 A8 A8A8 AA AAAA B4 C6 H103 H106 H112
BIS Research Pvt. Ltd.(Noida),Finance and Mgmt,30000,Noida,
Blue Jeans Network India Pvt. Ltd.(Bangalore),IT,50000,Bangalore,Any A7 A7
Bosch Research and Technology center(Bangalore),IT,30000,Bangalore,Any
Bundl Technologies Private Limited (Swiggy) - Nontech(Bangalore),Finance and Mgmt,40000,Bangalore,A7
CACTUS Communications - Product Analysis(Mumbai),,40000,Mumbai,A1 A2 A3 A4 A7 A8 AA AB H149
