StationId,Name,Domain,Stipend,Location,Branches,Project Description,Reqd Skill Sets, Reqd Electives
3880,ABB Global Industries and Services Private Limited(Bangalore),Electronics,25000,Bangalore,H101 H112 H123 H124 H140,"Improve safety, security and availability of industrial control systems including electrification solutions Skills: Programming C/C++/C# Industrial / Internet protocol","-","-"
321,Aditya Auto products & Engg (I) .P.Ltd.(Bangalore),Mechanical,20000,Bangalore,,"","",""
3253,Aditya Birla Group -Data and Analytics(Bangalore),IT,30000,Bangalore,A7,"Working on Production based machine learning models","Machine Learning, Artificial Intelligence , Ability to follow instructions , Ability to learn and adapt , Ability to learn fast , ability to learn, adapt and deliver , ability to work in group , Attention to details","MACHINE LEARNING(B)"
678,Aditya Birla Insulators(Halol),Mechanical,15000,Halol,,"","",""
328,Aditya Birla Science & Technology Company Ltd.(Mumbai),Chemical,10000,Mumbai,A1,"Broad project area R & D departments: Fibre and textile, materials, Metals and metallurgy, CFD etc.","-","-"
1233,Adobe Systems(Noida),IT,100000,Noida,A7 AA,"Research internship projects at Adobe India MDSR are in the areas of Computer Vision, Data Science and Natural Language Understanding. Interns are expected to make a novel contribution to a research area that results in a publication at a top journal or conference and filing of patent applications. A patent fling carries a significant monetary reward (Patent bonus for a single patent at Adobe is USD 7000.) We have published research papers at some of the most prestigious conferences such as ICLR, CVPR, WACV, GEECO, NeurIPS, ICCV etc. Some areas of interests are – Segmentation in images and video, unsupervised learning, zero shot and few shot learning, Generative Adversarial Networks, Reinforcement learning for personalization, recommendations, Model Interpretation and explainability, Quantum Machine Learning, Topological Data Analysis etc","Machine Learning, Artificial Intelligence","-"
762,Adobe Systems(Bangalore),IT,100000,Bangalore,Any A7 Any AA A7 AA,"As a product intern, you will indulge in doing a feature/technology development from concept to implementation using state of art technology under the guidance of an Adobe mentor and other team members in a fun-filled environment. During the course of the internship, you will: a. Do research on a given feature or workflow or problem statement, discuss it with other group members, define it as a “goal” for the internship and get it validated from your mentor. b. Get a good understanding of the platform the problem needs to be solved for (e.g. iOS, Android, Service on AWS/Azure etc) to be able to provide a good implementation. c. Generate an implementation based on a robust design. d. Showcase the implementation to your mentor and the Group Head. e. Get a sign off on “Goal” achieved. f. Identify relevant IPs created in the process (patents)","Data structures and algorithms","-"
4042,AECOM(Delhi),Infrastructure,,Delhi,A2 H143,"Projects related to Infrastructure","-","-"
3779,Aerchain(Bangalore),IT,20000,Bangalore,Any,"Object Oriented Programming","C coding , compter Programming , Database systems , Datastructure , Java , java script , Node.js , NodeJS , Ability to follow instructions , Ability to learn and adapt , Ability to learn fast , ability to learn, adapt and deliver , Ability to think and analyze situations logically","COMPUTER PROGRAMMING(B) , DATA STRUCTURES & ALGO(B)"
1081,AFour Technologies(Pune),IT,60000,Pune,A1 A2 A3 A4 A5 A7 A8 AA,"Digital transformation projects are aimed towards digitizing manual processes or enhancing existing digital solutions as well as integrating and automating dataflow across different systems in the organization. These projects also have another data goal of designing digital dashboards for various management levels. One needs excellent programming skills and ability to understand complex domains for design purpose. Rest of the training is imparted depending on the nature of components you are building and the nature of application architecture.","C++ , Docker , Dockers , Java/Python , Java/Python/Javascript/NodeJS , MySQL , Phython , PostgreSQL , ReactJS , Good Communication Skills , Software Technology Enthusiast , Team Player","-"
3806,Agami Engineering Consultants LLP(Thane),Infrastructure,,Thane,,"","",""
3921,AgroStar(Pune),Finance and Mgmt,40000,Pune,A1 A2 A3 A4 A5 A7 A8 AA AB,"Work closely with the Product Management & Strategy teams to understand trends and opportunities through complex qualitative and quantitative research and analysis and aid in driving crucial business, product and strategy decisions Skills: SQL, R, Excel Effective Communication, Openness, Cross-team collaboration, Thinking Big, Self-motivated learner Diploma in analytics is preferred Drive identification of requirements across business units and identify systems solutions and processes through evaluation of complex qualitative and quantitative research and analysis Identify trends and opportunities for growth through analysis of complex data sets Work directly with multiple teams and users to gather requirements, provide status updates, and build relationships Serve as collaborator and thought leader for core & non-core business processes, developing forward-thinking solutions that promote increased efficiency and productivity on multiple levels Create and implement precise plans, with attention to transparent communication at all levels Create best-practice reports based on data mining, analysis, and visualization Evaluate internal systems for efficiency, problems, and inaccuracies, developing and maintaining protocols for handling, processing, and cleaning data","-","-"
4014,Aithinkerds India Pvt. Ltd.(Hyderabad),IT,25000,Hyderabad,A3 A7 A8 AA,"Skills: Java, Data Structures & Algorithms, Good communication skills can be experts at cloud (AWS) can learn a lot of latest tech stack like Node, JS React & React Native. Can learn end to end product lifecycle If interested can learn much more like blockchain & NLP as well","-","-"
