"StationId","Name","Domain","Stipend","Location","Branches","Project Description","Reqd Skill Sets","Reqd Electives",
"3880","ABB Global Industries and Services Private Limited(Bangalore)","Electronics","25000","Bangalore","A4, A7, AB,","PROJECT-1: Inventory Management: Python, PowerBI, Inventory management, Production Management
PROJECT-2: Data Analytics: Python, R, Azure or Programing: AngularJS, C+, PowerBI
","PROJECT-1: Phython , Project management , Python
PROJECT-2: Angular Js , Azure , C++ , Python, R
","PROJECT-1: -
PROJECT-2: -
",
"4854","Abhyaas Edu Technologies Pvt. Ltd.(Hyderabad)","IT","7000","Hyderabad","Any","PROJECT-1: We have E-Learning portals known as lawprep.in & iitprep.in. Looking for candidates who can support us in increasing the website traffic, leads & conversions. Skills: Google Ad words, SEO , SMM & graphic designing Writing Ability Digital Marketing course would be an advantage Google Ad words, SEO & SMM
PROJECT-2: We need to develop overall edu system for Abhyaas Edu Technologies Pvt Ltd, It has multiple modules like Human Resource Management System, Employee Management System, Student Management System, ERP Management System, Online Exam Management System, E-Learning Solutions. Each module performs a separate function within the Edu System. For this project we are using PHP Laravel web application framework. Project domain Edmark.in Skills: PHP LARAVEL, JAVA SCRIPT, MYSQL • Laravel web application framework • JAVA SCRIPT
","PROJECT-1: -
PROJECT-2: -
","PROJECT-1: -
PROJECT-2: -
",
"785","Access Livelihoods Consulting India (Formerly Chitika)(Hyderabad)","IT","15000","Hyderabad","A7,","PROJECT-1: Project Domain: Information Technology Application in Agriculture Skills: Understanding of Enterpirses software, Saas, Basics of IoT Good communication analytical and representation skills. Should have an entrepreneurial Orientation emerging software applications IoT Application in rural enterprises Enterprise software Development Business Management
","PROJECT-1: -
","PROJECT-1: -
",
"4118","Adani Power(Ahmedabad)","Mechanical","","Ahmedabad","A4,","PROJECT-1: Boiler tube leakage types and remedies in a power plant.
PROJECT-2: Study of Cooling tower fan failures in a power plant.
PROJECT-3: Cooling tower performance improvement in a power plant.
PROJECT-4: Estimation of Heat Rate deterioration due to HP bypass valve passing in a power plant.
PROJECT-5: Residual life analysis of Power Transformers in a power plant.
PROJECT-6: Reliability improvement in HT Switchgears for power plant applications.
PROJECT-7: Reliability improvement in Battery System for power plant applications.
PROJECT-8: EHV Equipment Condition Monitoring Application Development for a power plant
PROJECT-9: Improving reliability of BC Net Communication in GE Make OC4000 DCS
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
PROJECT-4: -
PROJECT-5: -
PROJECT-6: -
PROJECT-7: -
PROJECT-8: -
PROJECT-9: -
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
PROJECT-4: -
PROJECT-5: -
PROJECT-6: -
PROJECT-7: -
PROJECT-8: -
PROJECT-9: -
",
"2767","AFour Technologies Pvt. Ltd.(Pune)","IT","30000","Pune","Any","PROJECT-1: Digital transformation platform consists of various services m towards digitizing current manual processes as well as enhancing assistant digital solutions. Another goal of digital transformation is to venture clean data collection and hand making kit available for taking and informed decisions. This will need excellent design, programming skills and ability to understand various business processes. Necessary training will be imparted depending upon the nature of component your building and the application architecture. Project domain : Digital transformation, software product engineering and data engineering Skills: • Very good programming skills with any one of these languages (Python / Java / JavaScript) are a must • Skills of web frameworks such as React / Angular are a plus • SQL / NoSQL database knowledge / skills are a plus • Having knowledge of Dockers as well as Kubernetes is a plus • Understanding of Microservices Architecture is a plus Familiarity with at least one of the cloud ecosystems (E.g. Azure / AWS / GCP / Openstack) is a plus Very good team player, good communication software technology Enthusiasts Any programming languages from following Python / Java / JavaScript Good English communication skills is must Ability to design components of enterprise software solutions • Digital transformation stages • Applying technology, processes, and people together to solve techno-commercial problems • Python / Java / MEARN • SQL / NoSQL database skills • Microservices based architecture design and development • UI frameworks like React / Angular • Dockers and Kubernetes Azure / AWS / GCP / Openstack
","PROJECT-1: -
","PROJECT-1: -
",
"4882","Alien Developers(Hyderabad)","Infrastructure","","Hyderabad","A2,","PROJECT-1: Projects related to Civil Engineering
","PROJECT-1: -
","PROJECT-1: -
",
"3617","AlmaConnect(Gurgaon)","Finance and Mgmt","20000","Gurgaon","Any","PROJECT-1: (Business Development, CRM, Operations, Product Management, Data Analytics); Stipend 20k remote and 25k physical
","PROJECT-1: -
","PROJECT-1: -
",
"4876","AltMat(Ahmedabad)","Chemical","10000","Ahmedabad","A1, A4, AB,","PROJECT-1: AltMat manufactures alternative materials from agriculture waste for textiles and paper industry at scale. These fibers have applications in other materials like making sustainable alternatives to Styrofoam, Synthetic non-woven, Leather, Plastic composites. Researchers with a background in material science would be working to make prototypes, portfolios and processes for 1. Packaging Materials 2. Natural Vegan Leather 3. Replacements of plastic composites for applications like clothing hanger, buttons etc. A same researcher would NOT be compulsorily responsible for all the stated applications. He or she would also be responsible for testing the assigned application’s materials properties and mapping the final applications. AltMat would provide with details of specifications for these materials. On remarkable execution, company would be open for hiring the candidate Project domain : Material Science Skills: 1.Masters or Final/ Pre-final year Bachelors or PhD candidate in the field of Materials Science with a focus on composites. 2. Scientific understanding of making materials, prototypes and testing for properties would be of importance. 3. He or she should be aware of basic processes, materials and apparatus needed for making the application listed in the project description. 4. Understanding of polymers would be appreciated. We aren’t looking for making polymers but the understanding would be a good add on. 5. Understanding of reinforced composites would be valued. 6. A student with a thesis project in any of the fields on composites, vegan leather, packaging materials, plastic alternatives etc. would be preferred. However, it is not compulsory. 1. Enthusiasm for prototyping and willingness to do number of iterations for discovering possibilities. 2. Sense of responsibility to handle confidential information. 3. Passionate about making materials that are good for environment while being viable. 4. Agile enough to reach out to right people, ask questions, learn and apply as and when needed. 5. Ability to explain complex scientific information in simple layman language. 6. Skill to write scientific papers or a white paper would be appreciated. 7. Preparedness to accept volatility associated with startups. 8. Ability to conduct effective secondary and primary research. Expected learning (in bullet points) - Start-up culture and innovation culture Business Side of the alternative materials - Understanding of growing importance of environmental sustainability backed by viability - Natural fibres and Agro-waste opportunities - Art of frugally prototyping and iterating. - Understanding of leather, packaging and sustainable composites properties, processes - Art of translating rapid prototyping into manufacturing processes - Story Telling and Story Boarding - Ground challenges between theory, invention and execution. - Witnessing entrepreneurial spirit and developing the same in oneself. - It is purely a Gen Z and Millennial company with strong value sets and lean environment. You would be found sharing tables with the founder and heads directly. It would NOT be a very hierarchical system and would be extremely open to innovative ideas, science, impact and execution.
","PROJECT-1: -
","PROJECT-1: -
",
"4898","ALW Lighting India Pvt Ltd(Ludhiana)","Electronics","26000","Ludhiana","Any","PROJECT-1: You will be coordinaPng with our teams in UK and India for piloPng digital markePng strategies and campaigns Project domain Digital MarkePng Skills: Photoshop MarkePng management and e x c e p P o n a l w r i q e n communicaPon skills MarkePng related courses Expected learning (in bullet points) Integrated management of markePng & communicaPons SEO Lead generaPon Media targePng Email and media campaigns CopywriPng/Content creaPon
","PROJECT-1: -
","PROJECT-1: -
",
"4899","ALW Lighting India Pvt Ltd- Nontech(Ludhiana)","Electronics","24000","Ludhiana","A3, A8, AA, B5,","PROJECT-1: You will be working closely with mechanical engineers and product designers to refine opPcal performance of our newest range Project domain OpPcal Engineering Skills: Basic understanding of mechanical CAD and opPcal design sopwares OpPcs, EMT Course on Optoelectronics Expected learning (in bullet points) Design/simulaPon of opPcs for Architectural LighPng products Prototyping, experimentaPon and data-gathering of new opPcal systems ConducPng feasibility studies fo r new mater ial s and construcPon EvaluaPon of vendors for shelf opPc procurement You may work on Reflector design You may work on Lens design
PROJECT-2: The interns will collaborate with the R&D team on projects for designing components and instruments for LED LighPng. You will be guided by some of the country’s top Architects and LighPng Designers. Project domain Mechanical/Manufacturing Skills: Proficiency in Solidworks, Super i o r rendering and concept development skills Translate requirements into designs and mechanical drawings Any specific courses that student should have taken ME F416 - Rev Eng and Rapid prototyping ME G611 - Computer aided Analysis and design MF F473 - Product Design and Development DE G531 - Product Design MF F312 - Tool & fixture design Expected learning (in bullet points) Rendering realisPc product and installaPon images Prototyping using 3D prinPng Defining product specificaPons CreaPng detailed drawings Prototype tesPng
","PROJECT-1: -
PROJECT-2: -
","PROJECT-1: -
PROJECT-2: -
",
